Timestamp,Run,F1_Macro,F1_Binary,AUC,AUPRC
2026-05-03 07:57:59,258,0.9417,0.9000,0.9950,0.9733
2026-05-03 07:58:16,259,0.9417,0.9000,0.9950,0.9769
2026-05-03 07:58:33,260,0.8833,0.8000,0.9700,0.9055
2026-05-03 07:58:57,261,0.9417,0.9000,0.9983,0.9909
2026-05-03 07:59:15,262,0.8833,0.8000,0.9600,0.8762
2026-05-03 07:59:34,263,0.9417,0.9000,0.9950,0.9733
2026-05-03 07:59:53,264,0.9417,0.9000,0.9967,0.9833
2026-05-03 08:00:12,265,0.9417,0.9000,0.9917,0.9558
2026-05-03 08:00:32,266,0.8833,0.8000,0.9667,0.8984
2026-05-03 08:00:57,267,0.8833,0.8000,0.9850,0.9406
2026-05-03 08:01:15,268,0.8833,0.8000,0.9500,0.8613
2026-05-03 08:01:32,269,0.7667,0.6000,0.9283,0.7131
2026-05-03 08:01:50,270,0.8833,0.8000,0.9667,0.8976
2026-05-03 08:02:07,271,0.8833,0.8000,0.9917,0.9540
2026-05-03 08:02:25,272,0.9417,0.9000,0.9550,0.9178
2026-05-03 08:02:49,273,0.9417,0.9000,0.9950,0.9769
2026-05-03 08:03:07,274,0.9417,0.9000,0.9633,0.9313
2026-05-03 08:03:23,275,0.8250,0.7000,0.9633,0.8373
2026-05-03 08:03:40,276,0.8833,0.8000,0.9417,0.8856
2026-05-03 08:03:59,277,0.8833,0.8000,0.9433,0.8717
2026-05-03 08:04:16,278,0.9417,0.9000,0.9733,0.9300
2026-05-03 08:04:32,279,0.9417,0.9000,0.9967,0.9833
2026-05-03 08:04:52,280,0.9417,0.9000,0.9983,0.9909
2026-05-03 08:05:10,281,0.8833,0.8000,0.9867,0.9407
2026-05-03 08:05:26,282,0.9417,0.9000,0.9983,0.9909
2026-05-03 08:05:50,283,0.7667,0.6000,0.8750,0.5553
2026-05-03 08:06:07,284,0.9417,0.9000,0.9817,0.9476
2026-05-03 08:06:20,285,0.9417,0.9000,0.9800,0.9455
2026-05-03 08:06:43,286,0.8250,0.7000,0.9667,0.8637
2026-05-03 08:07:07,287,1.0000,1.0000,1.0000,1.0000
2026-05-03 08:07:27,288,0.9417,0.9000,0.9950,0.9769
2026-05-03 08:07:46,289,0.8833,0.8000,0.9567,0.8844
2026-05-03 08:08:10,290,0.9417,0.9000,0.9800,0.8779
2026-05-03 08:08:29,291,1.0000,1.0000,1.0000,1.0000
2026-05-03 08:08:53,292,0.8833,0.8000,0.9850,0.9295
2026-05-03 08:09:10,293,0.9417,0.9000,0.9883,0.9525
2026-05-03 08:09:25,294,0.8250,0.7000,0.9750,0.8975
2026-05-03 08:09:47,295,0.8833,0.8000,0.9617,0.8664
2026-05-03 08:10:04,296,0.9417,0.9000,0.9833,0.9500
2026-05-03 08:10:19,297,0.9417,0.9000,0.9800,0.9455
2026-05-03 08:10:41,298,0.8833,0.8000,0.9900,0.9532
2026-05-03 08:11:02,299,0.8833,0.8000,0.9583,0.8885
2026-05-03 08:11:17,300,0.9417,0.9000,0.9950,0.9733
2026-05-03 08:11:32,301,0.9417,0.9000,0.9850,0.9526
2026-05-03 08:11:54,302,0.9417,0.9000,0.9950,0.9769
2026-05-03 08:12:09,303,0.8833,0.8000,0.9517,0.9088
2026-05-03 08:12:26,304,0.9417,0.9000,0.9967,0.9833
2026-05-03 08:12:46,305,1.0000,1.0000,1.0000,1.0000
2026-05-03 08:13:05,306,0.9417,0.9000,0.9917,0.9558
2026-05-03 08:13:22,307,0.8833,0.8000,0.9700,0.7952
2026-05-03 08:13:40,308,0.8833,0.8000,0.9583,0.8128
2026-05-03 08:14:01,309,0.8250,0.7000,0.8900,0.7256
2026-05-03 08:14:33,310,0.8833,0.8000,0.9600,0.8890
2026-05-03 08:15:23,311,0.9417,0.9000,0.9867,0.9488
2026-05-03 08:16:13,312,0.8833,0.8000,0.9417,0.8605
2026-05-03 08:17:01,313,0.9417,0.9000,0.9967,0.9809
2026-05-03 08:17:48,314,0.9417,0.9000,0.9967,0.9833
2026-05-03 08:18:43,315,0.9417,0.9000,0.9867,0.9556
2026-05-03 08:19:31,316,0.8833,0.8000,0.9500,0.8826
2026-05-03 08:20:18,317,1.0000,1.0000,1.0000,1.0000
