split;f1_score;roc_auc;auprc
117;0.7;0.9728813559322035;0.8630050505050505
118;0.7;0.9322033898305084;0.6415168165168166
119;0.8;0.9542372881355932;0.7171031746031746
120;0.8;0.9796610169491525;0.8258444333444334
121;0.6;0.9423728813559322;0.6833367071524966
122;0.9;0.9898305084745763;0.9433119658119659
123;0.7;0.9694915254237287;0.8234371184371183
124;0.8;0.9593220338983051;0.760297619047619
125;0.7;0.9525423728813559;0.7286002886002886
126;0.7;0.9745762711864407;0.8028646353646353
127;0.7;0.9525423728813559;0.723406862745098
128;0.8;0.9864406779661017;0.9283119658119657
129;0.9;0.988135593220339;0.9378174603174602
130;0.4;0.8999999999999999;0.4747768897768898
131;0.7;0.9728813559322035;0.861005661005661
132;0.8;0.9779661016949153;0.8772069597069596
133;0.8;0.983050847457627;0.8655880230880231
134;0.8;0.9711864406779661;0.8056349206349206
135;0.6;0.9271186440677966;0.5650351935646054
136;0.6;0.9457627118644069;0.6408241758241758
137;0.7;0.9627118644067796;0.7355844155844155
138;0.6;0.940677966101695;0.6863394448688566
139;0.7;0.9661016949152542;0.7592596292596292
140;0.8;0.9711864406779661;0.7988339438339438
141;0.7;0.9593220338983051;0.8128661616161615
142;0.7;0.9610169491525424;0.7660150878533231
143;0.8;0.9779661016949153;0.8697546897546897
144;0.6;0.9203389830508475;0.5119803807303808
145;0.7;0.9677966101694916;0.8491161616161615
146;0.6;0.9423728813559322;0.6971112169564181
147;0.7;0.9627118644067797;0.7637193362193362
148;0.7;0.947457627118644;0.7103346601798614
149;0.8;0.964406779661017;0.7683333333333333
150;0.6;0.9389830508474576;0.6906384843226948
151;0.9;0.9966101694915255;0.9809090909090908
152;0.7;0.9627118644067797;0.7102272727272727
153;0.7;0.9491525423728814;0.6563235294117648
154;0.7;0.9576271186440678;0.7538509151667047
155;0.6;0.9372881355932203;0.6466952930110825
156;0.7;0.9474576271186441;0.7331439393939393
157;0.8;0.9728813559322035;0.8633333333333333
158;0.7;0.9610169491525423;0.8341700404858299
159;0.8;0.9661016949152542;0.8256489262371616
160;0.7;0.9711864406779661;0.7824281274281274
161;0.8;0.9847457627118643;0.9228174603174603
162;0.7;0.9610169491525423;0.7999482380364733
163;0.7;0.952542372881356;0.7485225885225885
164;0.6;0.9440677966101695;0.6964637649931767
165;0.6;0.9423728813559322;0.6546012759170654
166;0.6;0.9406779661016949;0.7852813852813851
167;0.8;0.9711864406779661;0.7862626262626262
168;0.5;0.9050847457627118;0.49341269841269836
169;0.7;0.964406779661017;0.8288235294117646
170;0.7;0.9610169491525424;0.808997113997114
171;0.8;0.976271186440678;0.877167277167277
172;0.5;0.9118644067796611;0.49889355742296915
173;0.7;0.9627118644067797;0.7898841354723707
174;0.8;0.976271186440678;0.8101373626373626
175;0.7;0.9610169491525424;0.7559415584415584
176;0.7;0.9661016949152542;0.8472650878533231
177;0.8;0.9779661016949153;0.8660958485958485
178;0.8;0.9813559322033899;0.888470695970696
179;0.7;0.9677966101694915;0.82505328005328
180;0.8;0.9864406779661017;0.9105880230880231
181;0.6;0.9576271186440678;0.7543506493506493
182;0.8;0.9728813559322034;0.7988736263736262
183;0.6;0.9288135593220339;0.5864301874595993
184;0.8;0.9677966101694916;0.8466666666666666
185;0.8;0.9694915254237289;0.8553711484593837
186;1.0;1.0;0.9999999999999999
187;0.6;0.9355932203389831;0.7714935064935065
188;0.8;0.9694915254237289;0.7743578643578642
189;0.8;0.9762711864406779;0.8734371184371184
190;0.8;0.9898305084745762;0.9532467532467531
191;0.9;0.9932203389830508;0.9669230769230769
192;0.8;0.9762711864406779;0.8532539682539683
193;0.6;0.9389830508474577;0.6593162393162393
194;0.7;0.9576271186440678;0.746204481792717
195;0.8;0.9610169491525424;0.7755999066293183
196;0.9;0.9898305084745763;0.9263455988455987
197;0.8;0.964406779661017;0.7568253968253967
198;0.6;0.9440677966101695;0.6417905623787977
199;0.8;0.9779661016949153;0.8936752136752136
200;0.7;0.9779661016949153;0.8774281274281274
201;0.8;0.9694915254237289;0.8359371184371184
202;0.8;0.9796610169491525;0.9169431875314228
203;0.8;0.9813559322033899;0.9267857142857142
204;0.8;0.9694915254237289;0.8563888888888888
205;0.9;0.9847457627118644;0.8737698412698411
206;0.5;0.9186440677966101;0.5768223443223442
207;0.7;0.9711864406779661;0.8505050505050505
208;0.8;0.9694915254237289;0.820103785103785
209;0.7;0.9525423728813559;0.7836434837092732
210;0.7;0.9694915254237289;0.8444444444444444
211;0.7;0.9677966101694916;0.7663170163170162
212;0.9;0.9898305084745762;0.9354365079365078
213;0.7;0.9474576271186441;0.6803008021390373
214;0.6;0.9271186440677966;0.5743452380952382
215;0.6;0.9457627118644067;0.6818704906204905
216;0.8;0.976271186440678;0.8613339438339438
217;0.5;0.9254237288135594;0.6040066877566878
218;0.7;0.9491525423728814;0.6826132119514472
219;0.7;0.9525423728813559;0.7414087301587301
220;0.6;0.9542372881355932;0.729126559714795
221;0.6;0.9338983050847457;0.5648637911795807
222;0.6;0.9457627118644067;0.723217659533449
223;0.7;0.9661016949152542;0.7633866133866133
224;0.9;0.9915254237288136;0.9558119658119658
225;0.4;0.9084745762711866;0.4836459373959374
226;0.9;0.9949152542372882;0.9769230769230769
227;0.8;0.9711864406779661;0.8548796954679306
228;0.7;0.9661016949152542;0.812012987012987
229;0.7;0.9576271186440678;0.7733333333333333
230;0.8;0.9796610169491525;0.8829761904761905
231;0.5;0.9067796610169492;0.5011779448621554
232;0.8;0.9576271186440678;0.6856489262371616
233;0.7;0.9491525423728814;0.621149536737772
234;0.8;0.9677966101694915;0.8516211484593837
235;0.6;0.9559322033898305;0.801267942583732
236;0.8;0.9762711864406779;0.836024531024531
237;0.7;0.9542372881355932;0.7434415584415583
238;0.7;0.940677966101695;0.6653526538820657
239;0.7;0.9728813559322034;0.8438736263736263
240;0.8;0.9508474576271186;0.7468877854171971
241;0.8;0.9627118644067797;0.7251911976911977
242;0.8;0.9779661016949153;0.8629761904761905
243;0.8;0.9559322033898305;0.7987426900584795
244;0.7;0.9559322033898305;0.8195526695526695
245;0.8;0.9610169491525424;0.7173155929038283
246;0.6;0.9440677966101695;0.6933982683982683
247;0.8;0.9813559322033899;0.888470695970696
248;0.6;0.9474576271186441;0.6455795511677864
249;0.6;0.940677966101695;0.6415384615384615
250;0.6;0.9355932203389831;0.6176190476190476
251;0.7;0.9491525423728814;0.7353906714200832
252;0.8;0.9847457627118644;0.9041777666777667
253;0.7;0.964406779661017;0.7544977244977245
254;0.7;0.9627118644067797;0.8268484211866564
255;0.8;0.9796610169491525;0.8860958485958484
256;0.8;0.9932203389830508;0.9651515151515152
257;0.6;0.9169491525423729;0.5476642363484469
258;0.6;0.9440677966101695;0.6092456073338427
259;0.6;0.9288135593220339;0.5725252525252525
260;0.6;0.9305084745762712;0.5768822792274805
261;0.8;0.9694915254237289;0.8605100373482726
262;0.6;0.9491525423728814;0.6693506493506493
263;0.8;0.9813559322033898;0.8566991341991341
264;0.5;0.9169491525423729;0.5845454545454545
