Run;f1_score;roc_auc;auprc
413;0.8;0.98;0.9248
414;0.9;0.9667;0.9245
415;0.8;0.9783;0.8772
416;0.9;0.9833;0.9426
417;1;1;1
418;1;1;1
419;0.8;0.9767;0.9118
420;0.9;0.9717;0.9285
421;0.9;0.9483;0.915
422;0.8;0.985;0.9406
423;0.9;0.99;0.9567
424;0.9;0.9933;0.9714
425;0.8;0.9683;0.9092
426;0.9;0.9917;0.9558
427;0.8;0.9917;0.9587
428;0.9;0.9783;0.9435
429;0.9;0.9617;0.9303
430;0.8;0.9817;0.9344
431;0.8;0.97;0.9078
432;1;1;1
433;0.8;0.9667;0.8423
434;0.8;0.9867;0.9417
435;0.8;0.955;0.8835
436;0.8;0.955;0.8896
437;0.9;0.9883;0.9456
438;0.9;0.9917;0.9667
439;0.8;0.9817;0.9281
440;0.9;0.995;0.9769
441;1;1;1
442;0.8;0.9633;0.8877
443;1;1;1
444;0.8;0.99;0.9532
445;0.9;0.995;0.9733
446;0.9;0.985;0.9456
447;1;1;1
448;0.8;0.955;0.8874
449;0.9;0.97;0.9357
450;0.9;0.9933;0.9669
451;0.9;0.9733;0.9385
452;0.8;0.9483;0.8766
453;0.9;0.995;0.9769
454;0.8;0.9767;0.9273
455;0.8;0.98;0.9021
456;0.8;0.9817;0.9344
457;0.8;0.9567;0.8887
458;0.7;0.9483;0.8039
459;0.9;0.9983;0.9909
460;0.8;0.9733;0.7999
461;0.9;0.9717;0.937
462;0.8;0.985;0.9406
463;0.7;0.9333;0.8125
464;0.9;0.99;0.9567
465;0.9;0.9817;0.9476
466;0.9;0.995;0.9769
467;0.7;0.945;0.7804
468;0.9;0.9717;0.937
469;0.9;0.9917;0.9667
470;0.9;0.975;0.94
471;0.9;0.9983;0.9909
472;0.8;0.9933;0.9652
473;0.9;0.9933;0.9669
474;0.9;0.9867;0.9488
475;0.7;0.9667;0.8767
476;0.9;0.985;0.9526
477;0.8;0.9367;0.8756
478;0.9;0.9933;0.9714
479;0.8;0.985;0.9153
480;0.8;0.9783;0.9081
481;0.9;0.9933;0.9714
482;0.9;0.9967;0.9833
483;0.9;0.9983;0.9909
484;0.8;0.9817;0.9263
485;0.9;0.995;0.9769
486;0.8;0.9833;0.9295
487;0.8;0.9717;0.9056
488;0.8;0.9883;0.9421
489;0.8;0.985;0.9406
490;1;1;1
491;1;1;1
492;0.7;0.9717;0.8865
493;1;1;1
494;0.8;0.9533;0.8542
495;0.9;0.9983;0.9909
496;0.8;0.9867;0.9417
497;0.8;0.9833;0.9338
498;0.9;0.9983;0.9909
499;0.9;0.9917;0.9667
500;0.9;0.995;0.9733
